"p2"	"p31"	"p32"	"p33"	"arc_length"
0.00000e+00	0.00000e+00	1.55614e+00	0.00000e+00	1.17087e+02
0.00000e+00	0.00000e+00	1.55445e+00	0.00000e+00	1.17260e+02
0.00000e+00	0.00000e+00	1.55276e+00	0.00000e+00	1.17433e+02
0.00000e+00	0.00000e+00	1.55108e+00	0.00000e+00	1.17606e+02
0.00000e+00	0.00000e+00	1.54939e+00	0.00000e+00	1.17779e+02
0.00000e+00	0.00000e+00	1.54770e+00	0.00000e+00	1.17953e+02
0.00000e+00	0.00000e+00	1.54602e+00	0.00000e+00	1.18126e+02
0.00000e+00	0.00000e+00	1.54433e+00	0.00000e+00	1.18299e+02
0.00000e+00	0.00000e+00	1.54264e+00	0.00000e+00	1.18472e+02
0.00000e+00	0.00000e+00	1.54095e+00	0.00000e+00	1.18645e+02
0.00000e+00	0.00000e+00	1.53927e+00	0.00000e+00	1.18819e+02
0.00000e+00	0.00000e+00	1.53758e+00	0.00000e+00	1.18992e+02
0.00000e+00	0.00000e+00	1.53589e+00	0.00000e+00	1.19165e+02
0.00000e+00	0.00000e+00	1.53420e+00	0.00000e+00	1.19338e+02
0.00000e+00	0.00000e+00	1.53252e+00	0.00000e+00	1.19512e+02
0.00000e+00	0.00000e+00	1.53081e+00	0.00000e+00	1.19685e+02
0.00000e+00	0.00000e+00	1.52911e+00	0.00000e+00	1.19858e+02
0.00000e+00	0.00000e+00	1.52741e+00	0.00000e+00	1.20031e+02
0.00000e+00	0.00000e+00	1.52570e+00	0.00000e+00	1.20204e+02
0.00000e+00	0.00000e+00	1.52400e+00	0.00000e+00	1.20378e+02
0.00000e+00	0.00000e+00	1.52229e+00	0.00000e+00	1.20551e+02
0.00000e+00	0.00000e+00	1.52059e+00	0.00000e+00	1.20724e+02
0.00000e+00	0.00000e+00	1.51889e+00	0.00000e+00	1.20897e+02
0.00000e+00	0.00000e+00	1.51718e+00	0.00000e+00	1.21070e+02
0.00000e+00	0.00000e+00	1.51548e+00	0.00000e+00	1.21244e+02
0.00000e+00	0.00000e+00	1.51377e+00	0.00000e+00	1.21417e+02
0.00000e+00	0.00000e+00	1.51207e+00	0.00000e+00	1.21590e+02
0.00000e+00	0.00000e+00	1.51037e+00	0.00000e+00	1.21763e+02
0.00000e+00	0.00000e+00	1.50866e+00	0.00000e+00	1.21936e+02
0.00000e+00	0.00000e+00	1.50696e+00	0.00000e+00	1.22110e+02
0.00000e+00	0.00000e+00	1.50525e+00	0.00000e+00	1.22283e+02
0.00000e+00	0.00000e+00	1.50355e+00	0.00000e+00	1.22456e+02
0.00000e+00	0.00000e+00	1.50185e+00	0.00000e+00	1.22629e+02
0.00000e+00	0.00000e+00	1.50014e+00	0.00000e+00	1.22802e+02
0.00000e+00	0.00000e+00	1.49841e+00	0.00000e+00	1.22976e+02
0.00000e+00	0.00000e+00	1.49667e+00	0.00000e+00	1.23149e+02
0.00000e+00	0.00000e+00	1.49494e+00	0.00000e+00	1.23322e+02
0.00000e+00	0.00000e+00	1.49320e+00	0.00000e+00	1.23495e+02
